Sample,Treatment,Stage treated,Gene,SDM.gene,rp49.1,rp49.2
PyrT21,A.Methanol,PreD1,D.kr-h1,1.87E-05,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,D.kr-h1,1.99E-05,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,D.kr-h1,8.93E-06,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,D.kr-h1,1.64E-05,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,D.kr-h1,1.66E-05,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,D.kr-h1,1.32E-05,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,D.kr-h1,3.24E-05,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,D.kr-h1,1.63E-05,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,D.kr-h1,2.65E-05,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,D.kr-h1,1.80E-05,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,D.kr-h1,1.20E-05,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,D.kr-h1,2.61E-04,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,D.kr-h1,9.79E-04,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,D.kr-h1,4.73E-04,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,D.kr-h1,5.55E-04,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,D.kr-h1,5.37E-04,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,D.kr-h1,9.34E-04,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,D.kr-h1,4.85E-04,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,D.kr-h1,4.98E-04,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,D.kr-h1,2.88E-04,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,D.kr-h1,2.44E-04,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,D.kr-h1,2.66E-04,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,D.kr-h1,1.64E-04,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,E.Pkkr-h1A,4.43E-06,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,E.Pkkr-h1A,5.73E-06,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,E.Pkkr-h1A,1.93E-06,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,E.Pkkr-h1A,3.32E-06,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,E.Pkkr-h1A,3.74E-06,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,E.Pkkr-h1A,4.30E-06,5.32E-03,5.15E-03
PyrT27,A.Methanol,PuD0,E.Pkkr-h1A,4.80E-06,3.54E-04,5.34E-04
PyrT34,A.Methanol,PuD0,E.Pkkr-h1A,3.63E-06,1.18E-03,1.38E-03
PyrT35,A.Methanol,PuD0,E.Pkkr-h1A,5.40E-06,1.39E-03,9.39E-04
PyrT36,A.Methanol,PuD0,E.Pkkr-h1A,2.44E-06,9.17E-04,1.22E-03
PyrT44,A.Methanol,PuD0,E.Pkkr-h1A,2.03E-06,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,E.Pkkr-h1A,6.53E-05,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,E.Pkkr-h1A,3.12E-04,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,E.Pkkr-h1A,1.42E-04,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,E.Pkkr-h1A,1.72E-04,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,E.Pkkr-h1A,1.74E-04,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,E.Pkkr-h1A,2.19E-04,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,E.Pkkr-h1A,8.27E-05,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,E.Pkkr-h1A,4.86E-05,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,E.Pkkr-h1A,2.52E-05,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,E.Pkkr-h1A,3.08E-05,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,E.Pkkr-h1A,2.54E-05,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,E.Pkkr-h1A,1.42E-05,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,F.Pkkr-h1B,6.83E-06,1.77E-03,2.42E-03
