Mother,Oviposition,NumberEggs,NumberMale,NumberFemale,NumberUnknown
RA,1,31,31,0,0
RA,2,39,38,1,0
RA,3,50,32,18,0
RA,4,63,21,42,0
RA,5,68,27,41,0
RA,6,51,18,33,0
RA,7,27,11,16,0
RA,8,50,28,22,0
RA,9,52,18,31,3
RA,10,26,12,14,0
RA,11,46,21,25,0
RA,12,15,5,10,0
RA,13,25,11,11,3
RA,14,10,6,4,0
RA,15,14,9,5,0
RA,16,9,1,8,0
RC,1,70,69,0,1
RC,2,121,88,32,1
RC,3,44,14,30,0
RC,4,71,16,53,2
RC,5,39,11,26,2
RC,6,44,12,32,0
RC,7,28,5,20,3
RC,8,8,4,4,0
RC,9,7,0,7,0
RC,10,13,3,10,0
RC,11,4,2,2,0
RD,1,59,59,0,0
RD,2,30,28,2,0
RD,3,63,32,31,0
RD,4,100,29,64,7
RD,5,49,13,32,4
RD,6,31,9,21,1
RD,7,29,7,22,0
RD,8,14,3,11,0
RD,9,12,7,5,0
RD,10,7,4,3,0
RD,11,4,2,2,0
RE,1,75,66,9,0
RE,2,93,55,38,0
RE,3,59,21,37,1
RE,4,69,8,61,0
RE,5,36,10,26,0
RE,6,35,8,24,3
RE,7,27,12,15,0
RE,8,11,4,6,1
RE,9,6,2,3,1
RE,10,11,4,7,0
RB,1,28,28,0,0
RB,2,34,34,0,0
RB,3,53,46,7,0
RB,4,40,25,13,2
RB,5,68,32,36,0
RB,6,75,33,38,4
RB,7,28,9,19,0
RB,8,61,23,37,1
RB,9,115,50,62,3
RB,10,59,19,37,3
RB,11,58,20,38,0
RB,12,46,24,17,5
RB,13,25,13,12,0
RB,14,42,18,24,0
RB,15,10,6,4,0
RB,16,11,4,7,0
RB,17,8,4,4,0
